0 0.641158 0.314221 0.178453 0.107939
0 0.701128 0.158864 0.183288 0.0809065
0 0.42222 0.828966 0.173329 0.0947322
0 0.489837 0.90483 0.175186 0.0865765
0 0.649396 0.312328 0.180064 0.113632
0 0.427071 0.831592 0.180596 0.0989714
0 0.493124 0.90262 0.174068 0.0833481
0 0.705908 0.159455 0.182471 0.0826042
0 0.874659 0.151024 0.150189 0.0712292
0 0.650688 0.312938 0.181494 0.114555 1
0 0.426576 0.832101 0.177996 0.097523 2
0 0.492375 0.904081 0.182323 0.0873561 3
0 0.654352 0.313882 0.181906 0.114868 1
0 0.42541 0.831278 0.182983 0.100306 2
0 0.49281 0.902583 0.1829 0.0876889 3
0 0.658478 0.31398 0.181339 0.114666 1
0 0.423306 0.831351 0.19432 0.106924 2
0 0.494283 0.900312 0.174464 0.083557 3
0 0.658012 0.317984 0.175685 0.111053 1
0 0.421084 0.831675 0.191821 0.105894 2
0 0.492505 0.899629 0.171793 0.0821786 3
0 0.659561 0.316908 0.179993 0.113907 1
0 0.417887 0.829151 0.192621 0.106863 2
0 0.49052 0.898412 0.164199 0.078148 3
0 0.657963 0.31677 0.183299 0.116325 1
0 0.414107 0.827844 0.190127 0.105896 2
0 0.487734 0.899117 0.162039 0.0767842 3
0 0.657395 0.315508 0.18838 0.120195 1
0 0.412008 0.824356 0.187881 0.105061 2
0 0.484797 0.899349 0.160365 0.0754746 3
0 0.657924 0.311712 0.199114 0.128338 1
0 0.408765 0.820098 0.181685 0.101894 2
0 0.480894 0.897885 0.15927 0.074297 3
0 0.657433 0.308708 0.19357 0.125675 1
0 0.404871 0.816665 0.183696 0.103543 2
0 0.475891 0.895175 0.158793 0.0734189 3
0 0.65715 0.305673 0.194544 0.127375 1
0 0.400133 0.812529 0.184447 0.104542 2
0 0.471977 0.890521 0.158763 0.0728166 3
0 0.655445 0.302732 0.195478 0.129316 1
0 0.393645 0.810971 0.186912 0.106919 2
0 0.466707 0.886453 0.157912 0.0718904 3
0 0.65326 0.303521 0.182452 0.120985 1
0 0.388724 0.807256 0.192563 0.111665 2
0 0.462975 0.880985 0.172723 0.0788476 3
0 0.653175 0.300237 0.182925 0.122294 1
0 0.385993 0.802381 0.193214 0.113522 2
0 0.460443 0.87774 0.175278 0.0801894 3
0 0.653598 0.298713 0.180535 0.121562 1
0 0.383394 0.797921 0.186922 0.110908 2
0 0.458456 0.877025 0.158391 0.071385 3
0 0.654411 0.297676 0.178444 0.120683 1
0 0.381898 0.792944 0.182507 0.109105 2
0 0.455625 0.875021 0.158379 0.0707406 3
