epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3693,1.8837,2.35075,1.54873,0.76223,0.6134,0.65746,0.26934,2.09794,2.22769,1.50916,0.000381818,0.000381818,0.000381818
2,23.697,1.47512,1.01632,1.2361,0.77708,0.70882,0.8168,0.48864,1.38203,1.64849,1.15958,0.00078177,0.00078177,0.00078177
3,33.9134,1.42459,0.90841,1.21663,0.39352,0.33111,0.26719,0.11858,2.60716,2.21674,2.16894,0.00118153,0.00118153,0.00118153
4,44.0372,1.39558,0.86681,1.21212,0.22884,0.28453,0.14307,0.03979,2.78995,4.08287,3.12821,0.00158095,0.00158095,0.00158095
5,54.4969,1.41579,0.88128,1.22645,0.0034,0.13644,0.00192,0.00039,3.76164,inf,6.50004,0.00197988,0.00197988,0.00197988
6,64.6171,1.36544,0.85491,1.1996,0.79584,0.68885,0.79221,0.43729,1.66002,1.37538,1.30411,0.00199695,0.00199695,0.00199695
7,74.599,1.33261,0.79805,1.17723,0.83652,0.88353,0.90151,0.50673,1.46824,1.77655,1.25984,0.00199561,0.00199561,0.00199561
8,84.6821,1.31983,0.80512,1.18493,0.82985,0.78037,0.84707,0.48687,1.45012,0.96778,1.25806,0.00199402,0.00199402,0.00199402
9,94.7873,1.3104,0.81638,1.17212,0.84981,0.82696,0.88436,0.54434,1.3468,1.03515,1.17583,0.00199219,0.00199219,0.00199219
10,104.766,1.28936,0.79707,1.16628,0.41082,0.25176,0.24785,0.09231,2.64557,2.18306,1.64887,0.00199012,0.00199012,0.00199012
11,114.878,1.27291,0.77277,1.1579,0.66777,0.62562,0.69882,0.36769,1.61214,1.11447,1.3147,0.00198781,0.00198781,0.00198781
12,125.206,1.22837,0.73706,1.13441,0.84627,0.85857,0.90883,0.47191,1.59411,1.34343,1.30206,0.00198526,0.00198526,0.00198526
13,135.332,1.2167,0.72529,1.11809,0.89921,0.86096,0.94281,0.59995,1.30704,0.74074,1.15494,0.00198246,0.00198246,0.00198246
14,145.565,1.21671,0.69491,1.12909,0.88245,0.87022,0.91377,0.56238,1.30114,0.82934,1.16652,0.00197943,0.00197943,0.00197943
