epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46613,2.05733,3.27345,1.73132,0.81712,0.83022,0.89284,0.48022,1.38323,1.87176,1.18843,0.0002,0.0002,0.0002
2,13.0777,1.5589,1.15109,1.27847,0.91374,0.78729,0.8763,0.45297,1.49542,1.26628,1.16949,0.00041959,0.00041959,0.00041959
3,18.5601,1.4197,0.83213,1.18091,0.94606,0.87162,0.9538,0.5935,1.20933,0.9495,1.04504,0.000637502,0.000637502,0.000637502
4,24.0454,1.40224,0.77862,1.17026,0.90088,0.85974,0.93147,0.55531,1.32904,0.91964,1.08603,0.00085246,0.00085246,0.00085246
5,29.322,1.37455,0.74973,1.1543,0.75105,0.47297,0.52885,0.25138,1.85427,1.77992,1.45738,0.0010632,0.0010632,0.0010632
6,34.6239,1.33383,0.74083,1.152,0.11789,0.2027,0.0687,0.01913,2.99408,2.53444,2.48609,0.0012685,0.0012685,0.0012685
7,39.8997,1.3386,0.71479,1.14415,0.00335,0.25,0.00211,0.00076,2.69593,65.1182,2.39847,0.00146716,0.00146716,0.00146716
8,45.3142,1.35214,0.72812,1.15313,9e-05,0.00676,5e-05,0,5.04311,inf,13.1898,0.00165803,0.00165803,0.00165803
9,50.5704,1.3198,0.73559,1.14459,0.00936,0.33108,0.00709,0.00269,2.6338,24.5046,1.84533,0.00183999,0.00183999,0.00183999
10,55.8831,1.27211,0.69019,1.12426,0.00202,0.10811,0.00108,0.0003,3.43948,inf,3.92921,0.00184588,0.00184588,0.00184588
11,61.1097,1.23836,0.69216,1.11453,0.56485,0.39527,0.40333,0.18042,2.31638,1.94304,2.02776,0.00181093,0.00181093,0.00181093
12,66.5143,1.26342,0.69539,1.12408,0.0871,0.31081,0.0578,0.01655,2.45098,9.98925,2.67925,0.00177281,0.00177281,0.00177281
13,71.7493,1.19579,0.65094,1.08912,0.66278,0.55068,0.59658,0.29468,1.80899,11.4739,1.78564,0.00173168,0.00173168,0.00173168
14,77.1863,1.17993,0.63491,1.08963,0.18918,0.17341,0.11348,0.04266,2.53912,10.2037,3.1704,0.0016877,0.0016877,0.0016877
15,82.4014,1.18467,0.62545,1.09207,0.55447,0.25676,0.26503,0.12705,2.38588,4.79446,2.40697,0.00164105,0.00164105,0.00164105
16,87.6508,1.15154,0.60959,1.08334,0.67678,0.44257,0.51878,0.24187,2.17807,1.80112,1.91335,0.00159191,0.00159191,0.00159191
17,92.8779,1.16451,0.60605,1.08282,0.73521,0.4784,0.56205,0.283,1.97075,2.02082,1.69599,0.00154047,0.00154047,0.00154047
18,98.1804,1.15428,0.6027,1.07585,0.74439,0.72297,0.77879,0.40983,1.69544,1.57218,1.47796,0.00148694,0.00148694,0.00148694
19,103.404,1.13395,0.59415,1.0668,0.91075,0.96529,0.97517,0.60741,1.27152,0.67052,1.096,0.00143152,0.00143152,0.00143152
20,108.716,1.13995,0.58403,1.06764,0.93044,0.97635,0.98397,0.60341,1.20824,0.66221,1.10826,0.00137444,0.00137444,0.00137444
21,113.923,1.12011,0.58421,1.07095,0.98197,0.97973,0.98764,0.63649,1.11117,0.64875,1.03391,0.00131593,0.00131593,0.00131593
22,119.3,1.07806,0.54898,1.04539,0.97496,0.98311,0.99173,0.65441,1.11916,0.55401,1.02679,0.0012562,0.0012562,0.0012562
23,124.625,1.06198,0.54937,1.0295,0.97996,0.97973,0.99277,0.65931,1.15519,0.57513,1.05626,0.00119551,0.00119551,0.00119551
24,129.918,1.08041,0.54379,1.04724,0.96891,0.95608,0.98184,0.65657,1.1697,0.55384,1.07602,0.00113408,0.00113408,0.00113408
25,135.063,1.05538,0.54233,1.03851,0.96319,0.97252,0.98931,0.66659,1.15887,0.53762,1.05633,0.00107216,0.00107216,0.00107216
26,140.407,1.07196,0.5493,1.04524,0.98897,0.97635,0.99108,0.67144,1.11689,0.52216,1.03579,0.00101,0.00101,0.00101
27,145.68,1.06678,0.53693,1.04636,0.98983,0.98632,0.99397,0.68208,1.06792,0.55191,1.01637,0.000947837,0.000947837,0.000947837
28,150.961,1.03532,0.52553,1.03906,0.99306,0.98649,0.99406,0.67883,1.09387,0.50334,1.01433,0.00088592,0.00088592,0.00088592
29,156.165,1.01477,0.50739,1.01814,0.99174,0.98311,0.99282,0.68209,1.10669,0.51615,1.03462,0.000824492,0.000824492,0.000824492
30,161.431,0.98432,0.50164,1.01903,0.99205,0.98986,0.99453,0.66444,1.13545,0.46793,0.99132,0.000763797,0.000763797,0.000763797
31,166.684,0.97885,0.4921,1.00693,0.9824,0.98649,0.99275,0.70725,1.04279,0.47589,0.99541,0.000704073,0.000704073,0.000704073
32,172.036,0.94868,0.47989,0.99531,0.98889,0.98311,0.99316,0.68748,1.08916,0.47247,0.99559,0.000645557,0.000645557,0.000645557
33,177.225,0.99768,0.48648,1.0179,0.99317,0.98649,0.99308,0.70247,1.07294,0.4545,0.98166,0.000588479,0.000588479,0.000588479
34,182.505,0.93859,0.47049,0.99231,0.99207,0.98986,0.99284,0.69667,1.11435,0.46379,1.00968,0.000533064,0.000533064,0.000533064
35,187.801,0.93829,0.46716,0.98957,0.99321,0.98794,0.99153,0.70033,1.05897,0.44533,0.98818,0.000479531,0.000479531,0.000479531
36,193.119,0.92157,0.45875,0.98693,0.99321,0.98876,0.99104,0.70871,1.04899,0.44958,0.98518,0.000428093,0.000428093,0.000428093
37,198.379,0.92539,0.45743,0.98522,0.99033,0.98986,0.99184,0.70923,1.04167,0.43528,0.98978,0.00037895,0.00037895,0.00037895
38,203.713,0.91283,0.45408,0.98073,0.9966,0.9893,0.99487,0.70331,1.06426,0.43691,0.99753,0.000332298,0.000332298,0.000332298
39,209.015,0.93106,0.44176,0.98189,0.9865,0.98752,0.99414,0.71469,1.06626,0.44633,1.01173,0.000288321,0.000288321,0.000288321
40,214.34,0.92908,0.44851,0.98427,0.99497,0.98986,0.99466,0.725,1.01347,0.43556,0.98452,0.000247192,0.000247192,0.000247192
41,242.221,0.84925,0.39543,0.93714,0.99916,0.98986,0.99493,0.73131,0.9951,0.42618,0.97689,0.000209073,0.000209073,0.000209073
42,247.506,0.84647,0.3762,0.93326,0.99907,0.98986,0.99483,0.73136,0.99493,0.42081,0.96705,0.000174115,0.000174115,0.000174115
43,252.722,0.81704,0.3637,0.93519,0.99939,0.98986,0.99497,0.71847,1.00462,0.41434,0.95978,0.000142456,0.000142456,0.000142456
44,258.058,0.82498,0.36248,0.93263,0.99991,0.99324,0.995,0.71531,1.02409,0.41456,0.96596,0.000114221,0.000114221,0.000114221
45,263.201,0.79446,0.35752,0.92157,0.9995,0.99324,0.995,0.72476,1.00106,0.40562,0.96815,8.95213e-05,8.95213e-05,8.95213e-05
46,268.392,0.82735,0.36142,0.93505,0.9994,0.99324,0.995,0.72378,0.99753,0.40354,0.96809,6.8454e-05,6.8454e-05,6.8454e-05
47,273.623,0.82525,0.35814,0.93371,0.99212,0.99324,0.99493,0.72544,1.00294,0.40924,0.96907,5.11027e-05,5.11027e-05,5.11027e-05
48,278.761,0.7978,0.3546,0.9176,0.99324,0.9931,0.99493,0.72888,1.00836,0.413,0.97007,3.75356e-05,3.75356e-05,3.75356e-05
49,283.969,0.79739,0.35327,0.91995,0.99254,0.99324,0.99493,0.73302,1.0063,0.41338,0.97177,2.78064e-05,2.78064e-05,2.78064e-05
50,289.196,0.79828,0.35327,0.91989,0.99262,0.99324,0.99493,0.72839,1.00034,0.40946,0.97072,2.19535e-05,2.19535e-05,2.19535e-05
